test
4
20 0
50 0
70 70
0 70
35 35
10
350 10
2
test
20 0
test
10 0
END_TURRET
scharnhorst main turret
43
36 0
60 0
60 4
63 8
69 19
69 22
70 22
70 35
69 35
69 38
67 44
67 54
72 54
72 66
67 66
67 79
61 82
58 84
54 86
51 87
46 88
36 88
36 88
25 88
21 87
17 86
14 84
10 82
5 79
5 66
0 66
0 54
4 54
4 44
2 38
2 35
1 35
1 22
2 22
2 19
8 8
11 4
11 0
37 45
20
180 190
3
GER280
-16 -33
GER280
0 -33
GER280
16 -33
END_TURRET
scharnhorst double 150 turret
17
19 53
15 53
11 52
4 48
4 47
0 27
0 22
1 2
2 1
19 0
37 2
38 22
38 27
34 47
34 48
27 52
23 53
19 26
30
270 90
2
GER150
-5 -22
GER150
5 -22
END_TURRET
scharnhorst single 150 turret
12
9 27
4 27
1 24
0 16
0 6
3 1
9 0
15 1
18 6
18 16
17 24
14 27
9 13
30
10
10
1
GER150
0 -10
END_TURRET
scharnhorst double 105 turret
8
7 19
4 19
0 12
0 1
7 0
14 1
14 12
10 19
7 9
50
10
10
2
GER105
-3 -6
GER105
3 -6
END_TURRET
kawkaz main turret
24
24 51
23 51
16 50
10 48
6 44
2 36
0 26
0 18
4 11
8 6
13 2
21 2
24 0
27 2
35 2
40 6
44 11
48 18
48 26
46 36
42 44
38 48
32 50
25 51
25 25
20
10
10
1
RUS180
1 -20
END_TURRET
oregon double 330 turret
32
26 63
24 63
14 62
9 59
8 53
6 44
5 39
1 31
0 29
0 20
1 18
3 13
7 7
10 4
13 2
20 1
26 0
32 1
39 2
42 4
45 7
49 13
51 18
52 20
52 29
51 31
47 39
46 44
44 53
43 59
38 62
28 63
27 32
20
10
10
2
USA330
-9 -21
USA330
9 -21
END_TURRET
