test
10
1000
16
64
80
3000
7
64 0
0 256
16 486
48 512
80 512
112 486
128 256
1
test
1 1
1
1
END_SHIP
Scharnhorst
3
117680
30
234
31.6
31500
72
111 0
136 80
136 88
136 101
143 113
150 145
170 260
178 322
179 367
189 424
198 492
209 614
212 669
216 767
219 868
216 1020
211 1114
205 1176
201 1214
198 1241
194 1275
190 1305
185 1339
180 1367
174 1396
174 1422
169 1455
163 1483
155 1523
142 1580
135 1605
127 1634
125 1639
123 1643
120 1647
115 1649
111 1649
111 1649
107 1649
102 1647
99 1643
97 1639
95 1634
87 1605
80 1580
67 1523
59 1483
53 1455
48 1422
48 1396
42 1367
37 1339
32 1305
28 1275
24 1241
21 1214
17 1176
11 1114
6 1020
3 868
6 767
10 669
13 614
24 492
33 424
43 367
44 322
52 260
72 145
79 113
86 101
86 88
3
scharnhorst main turret
1 -461
1
1
scharnhorst main turret
1 -336
1
1
scharnhorst main turret
1 451
1
1
END_SHIP
